Tweet ID,Text,label
1242553623260868608,"Are we still allowed to quote ancient Chinese proverbs, or is that racist? #RacismIsAVirus",0
1246508137638580225,@mamacat2u @VBeltiz More power to you!  This Chinese virus thing have really shown us who are the crazies and low IQ people are.  I went to Sam's Club and Costco this morning and both stores had lines that wrapped around the building to get inside.  Fuck that! I left disappointed at humanity.,0
1233468243534372865,"CNBC: WHO, Tedros reiterated that the virus could still turn into a pandemic. He urged against fear and panic, adding, ""our greatest enemy right now is not the virus itself. It's fear, rumors and stigma."" https://t.co/jOVYmu072D  via @GoogleNews",0
1243626072387747841,"""The heightened racism experienced by Asian communities is surprising to many people because beliefs in racial progress are widespread in American society."" @YaleSOM's @mwkraus and @EuniceHEun https://t.co/wUW45bCyp5 #COVID19 #RacismIsAVirus #StrongerTogether #AsianAmericans",1
1225611530978217989,"Coronavirus and Nepali in China: KP Oli has directed officials to bring back Nepali in Wuhan, China and Keep them s… https://t.co/uH5iEwvyz3",0
1238081115182764032,"#IamNotAVirus - heard of it @thetimes ? Why use this image for an article about #COVID19 ""patients outside China""? https://t.co/f1JFuVQpfn",1
1246282568414179329,"@RepAdamSchiff You have proven over the past 3 years that you hate Americans, and America! You place our country at risk. You were too busy with the fake impeachment to worry about the Chinese virus! Now you and Pelosi want to try again, with our money!",0
1232094383924707328,@realDonaldTrump Fact: Coronavirus will probably come to the US because it will become a world pandemic Fact: The legacy media and democrats will try and blame you for this Fact: You ought to preempt them. China is a commie nation and you have a narrow window to make that abundantly clear.,0
1238072679694864384,for the last fucking time.... CORONAVIRUS IS NO EXCUSE TO BE RACIST AGAINST ASIANS https://t.co/nBHTadCKzK,1
1245152684820348929,@realDonaldTrump I think your campaign slogan should be MAMA - Make America Manufacture Again....need to make stuff here in America after what is happening with this Chinese virus ...open our eyes on dependence to another country,0
1245357525400051712,"Fuck You, China. (Covid19) https://t.co/kNlwgYyxYA via @YouTube Exactly my thoughts! They must be held accountable! #ChineseVirus",2
1245999294139772928,"Anyone else do a sneaky fist pump when every recycle bin in the street goes thud, and yours puts pressure on the wagons hydraulics and goes chink, chink with all the bottles? Or is it just me?😂",0
1230523783708061696,Well no shit. #coronavirus https://t.co/1OLHdCVt8p,0
1237480830097862658,"Hoping April 1st come around and all the news broadcasts will be like   ""APRIL FOOLS.. The Coronavirus isnt real it was a joke""  Just a shit ton of old china men come out behind a curtain",0
1247596322657570823,@MarshaBlackburn @FreedomHK4ever Most disgusting. These media are just as morally bankrupt as the #ChinaCommunistParty.  #ChinaLiedPeopleDied,0
1244721630351327232,I am tweeting to Support #IAmNotAVirus hashtag &amp; respect for Asian Americans &amp; All Americans ❤️ https://t.co/SUDcB50ttc,1
1230394065004453888,Another Wuhan hospital chief 'is hospitalised after contracting coronavirus while treating patients' #CoronavirusOutbreak https://t.co/YtvbWMSHO9,0
1230515621315710977,@mattwander12 I barback on the weekends and I hear that stupid shit all the time to the point where I wish we actually had the coronavirus in a bottle 😂,0
1226914308270981128,Are you worried about the Coronavirus?  #coronavirus,0
1244262818595000325,I'm losing my mind 😵 quarantine is making me mad. #Chinese douchebags ate shit infected everyone with this #ChineseVirus and now the whole world is suffering for them. Bloody shitbags! Bloody ban #china ban Chinese people!😤  #Coronavirus,2
1230292697694580736,The Gray Plague: What The Fuck Is Going On In #Qom? #CoronaVirus #WuFlu https://t.co/QvRtzNhK98,0
1244844999566446592,CCP China doing all types of shady &amp; evil shit: 😴No one bats an eye Trump call a virus started in China the #ChineseVirus: 🤬  #ChinaLiedPeopleDie  #CCPLiedPeopleDied https://t.co/ILAaSA2HRM,2
1244398148174438400,@realDonaldTrump so much for it being the Chinese virus..yo ass sponsored the fucking country’s quarantine https://t.co/oxTRUbhJ6m,0
1235395447214288897,"Husband, I am SORRY you got what the rest of us had (not #coronavirus!!) But after tending to 3 little groaning people and blowing my own nose with scratchy TP for 2 weeks, I can't get it up for your sickness. I'm flaccid. I'm sorry. Your wife.",0
1234510147667365888,Coronavirus Election Puts the Democrats In a Difficult Spot https://t.co/vL4tUkCKpf,2
1233532837179072517,Have you ever seen anyone praying for death to Americans more than @RepAdamSchiff,0
1245035261030838272,@ChangshaCity fucking #chinesevirus,2
1238017385761656832,fuck china  #WuhanVirus #COVID2019 #coronavirus #COVID19 #WuhanCoronavirusOutbreak #WuhanPneumonia #StandUp4HumanRights #HongKongers #Korea #US #Germany #HongKong #Japan #UK #Italy #Iran,2
1241506262216593409,Watch this and not cry...wtf America. Seriously W T F #CoronavirusPandemic #COVID19 #AsianAmericans #RacismIsAVirus https://t.co/Ui3CBfcNBv,1
1245443836777648128,This is the truth #ChinaLiedPeopleDied,0
1246160110327451648,"We were told by @Stanford Doctor buddy ours January 24 when asked about Wuhan Virus..  ""Prepare for the worst""  ...and we closed our ad agency on Monday - February 17 and sent everyone home.    China covered this whole Damn thing up and the Fascists in Beijing are Pure Damn Evil! https://t.co/XRpVYXrBDQ",2
1245414160978059265,@m_ebrard Fuck china. #ChinaVirus,2
1244154521007382533,"@dancezaizai @SteveTheDuckBoi @NineAttributes @RealSaavedra Keep eating bats, and rats, and dogs, and cats and tell us what a civilized country you come from. China owns this pandemic and the entire works knows it! #STFU #KungFlu #FU 🖕🏻 https://t.co/6YEhQRSTkw",2
1246708748187508737,"""Passengers on coronavirus-stricken cruise ships disembark in Florida, head for hospitals, airports"" https://t.co/QBieaFSFVx https://t.co/JOxj8DQ1Vo",0
1230562435406262274,@realDonaldTrump “DearPres.#TRUMP You did a great job&amp;it will take years4people 2 understand how much you love #America&amp;the world #Patriots. This is certainly the right way2fight terrorists.The people of #Iran appreciate you4killing #Soleimani.” @ReStartLEADER #CORONAVIRUS https://t.co/cwX6jjFrwO,0
1243686788566261760,"@XyphosAurelias Yes, but China knew where the outbreak started and quaranetened a whole ass city, and rapidly built… https://t.co/GrNMFGX0JY",1
1230303021361455105,I'm hearing about some woman who refused to get tested and that she was the one who spread it? Fuck her.,0
1244895530720710656,Some Chinese are horrible as fuck! #ChinaLiedPeopleDie #BoycottChina #WuhanVirus,2
1248843547588956161,@SucreMam The #CCP at it again. #RacismIsAVirus #CCPVirus,0
1233478805089660938,"What the hell does she know about pandemics and public health???? Incompetence reigns in trumplandia.  It's all about cronies, lackeys and sycophants.",0
1230576964039110656,🦠🦠☠️☠️ You are a poor ghost from: Kenya.  Niggas: You took the Chinese government and got blood.  And the virus: $ 20 million: you will be condemned.  God will repay you.  The sky will: Thunder hack your black dog!,2
1233076366595231749,🔥Check out this news! #coronavirus #COVID_19 #COVID19 #COVIDー19 #Wuhan #coronaviruschina #WuhanCoronavirus #ChinaVirus &gt;share and RT! https://t.co/i4QE0GA26u,0
1231556600806006784,Yo 14 americans came back from Japan with coronavirus and now coronavirus has evolved to be untraceable. We are actually dead. China fucking killed everyone. Ggs,2
1233029080188178432,Fuck you ya commies,2
1232904856706387974,"W.H.O. : There's #coronavirus in your country. Britain: And? .. what's for tea ? America: ""OMFG! AAAAAAAAAHHHHHHH! We're all going to die I don't want to die it's the arabs and the Chinese oh my god save us President Trump and baby Jesus WE'RE ALL GOING TO DIE!"" https://t.co/wYmuuCGzWl",0
1233929223057952768,#COVID19 so this all started cuz some chinks want bat soup 🤡🤡🤡,2
1247987218104418307,"Discrimination is not okay no matter what the cause. With tensions high from #COVID19, many Asian Americans are taking to social media with campaigns like #WashTheHate, #RacismIsAVirus, and #IAmNotCOVID19 to empower communities and fight back.  https://t.co/VOXgcPpHny",1
1235919939992793089,China Should Have Warned They Were Firing Lasers at US Aircraft Too! They Are Not Rivals. They Are Enemies! $aapl $amzn $agn $brk $ba $bhc $crm $cmg $f $ge $gm $ko $ibm $pep $tst $iep $wfc $ms $gs $jpm $bac $c $sbux $cpe $googl $cat $nwl $wynn $qsr $shak $mcd $msft $nflx https://t.co/BGVuyARADf,0
